h1,h2,iteration,learning_rate,ReLu_testError
5,5,500,0.0000100,0.4436082
5,5,500,0.0000400,0.4550960
5,5,500,0.0000700,0.4298021
5,5,500,0.0001000,0.3893633
5,5,500,0.0001300,0.3470454
5,5,500,0.0001600,0.3129827
5,5,500,0.0001900,0.2898214
5,5,500,0.0002200,0.2749705
5,5,500,0.0002500,0.2705930
5,5,500,0.0002800,0.2598173
5,5,500,0.0003100,0.2594811
5,5,800,0.0000100,0.4470118
5,5,800,0.0000400,0.4366872
5,5,800,0.0000700,0.3709980
5,5,800,0.0001000,0.3120417
5,5,800,0.0001300,0.2795007
5,5,800,0.0001600,0.2630405
5,5,800,0.0001900,0.2524113
5,5,800,0.0002200,0.2475114
5,5,800,0.0002500,0.2453581
5,5,800,0.0002800,0.2428119
5,5,800,0.0003100,0.2417192
5,5,1000,0.0000100,0.4495703
5,5,1000,0.0000400,0.4163322
5,5,1000,0.0000700,0.3336886
5,5,1000,0.0001000,0.2831889
5,5,1000,0.0001300,0.2618479
5,5,1000,0.0001600,0.2507159
5,5,1000,0.0001900,0.2449506
5,5,1000,0.0002200,0.2417661
5,5,1000,0.0002500,0.2409163
5,5,1000,0.0002800,0.2417364
5,5,1000,0.0003100,0.2423114
5,5,1500,0.0000100,0.4553497
5,5,1500,0.0000400,0.3592557
5,5,1500,0.0000700,0.2784016
5,5,1500,0.0001000,0.2531955
5,5,1500,0.0001300,0.2443533
5,5,1500,0.0001600,0.2396971
5,5,1500,0.0001900,0.2368933
5,5,1500,0.0002200,0.2351728
5,5,1500,0.0002500,0.2478322
5,5,1500,0.0002800,0.2594816
5,5,1500,0.0003100,0.2712100
5,5,2000,0.0000100,0.4546119
5,5,2000,0.0000400,0.3114150
5,5,2000,0.0000700,0.2570805
5,5,2000,0.0001000,0.2437561
5,5,2000,0.0001300,0.2381523
5,5,2000,0.0001600,0.2361233
5,5,2000,0.0001900,0.2400546
5,5,2000,0.0002200,0.2485990
5,5,2000,0.0002500,0.2687557
5,5,2000,0.0002800,0.2802212
5,5,2000,0.0003100,0.2836843
5,5,3000,0.0000100,0.4404476
5,5,3000,0.0000400,0.2674956
5,5,3000,0.0000700,0.2430375
5,5,3000,0.0001000,0.2365625
5,5,3000,0.0001300,0.2388096
5,5,3000,0.0001600,0.2520888
5,5,3000,0.0001900,0.2683799
5,5,3000,0.0002200,0.2816369
5,5,3000,0.0002500,0.2812253
5,5,3000,0.0002800,0.2791241
5,5,3000,0.0003100,0.2770190
5,5,4000,0.0000100,0.4156242
5,5,4000,0.0000400,0.2508682
5,5,4000,0.0000700,0.2371425
5,5,4000,0.0001000,0.2423401
5,5,4000,0.0001300,0.2596250
5,5,4000,0.0001600,0.2798459
5,5,4000,0.0001900,0.2786326
5,5,4000,0.0002200,0.2784806
5,5,4000,0.0002500,0.2773848
5,5,4000,0.0002800,0.2732101
5,5,4000,0.0003100,0.2720782
5,5,5000,0.0000100,0.3874716
5,5,5000,0.0000400,0.2439156
5,5,5000,0.0000700,0.2363481
5,5,5000,0.0001000,0.2572456
5,5,5000,0.0001300,0.2805420
5,5,5000,0.0001600,0.2781867
5,5,5000,0.0001900,0.2782229
5,5,5000,0.0002200,0.2758250
5,5,5000,0.0002500,0.2720916
5,5,5000,0.0002800,0.2693290
5,5,5000,0.0003100,0.2765318
5,6,500,0.0000100,0.7017617
5,6,500,0.0000400,0.6487468
5,6,500,0.0000700,0.6686020
5,6,500,0.0001000,0.6794906
5,6,500,0.0001300,0.6806976
5,6,500,0.0001600,0.6269797
5,6,500,0.0001900,0.4688645
5,6,500,0.0002200,0.3919247
5,6,500,0.0002500,0.3687726
5,6,500,0.0002800,0.3594284
5,6,500,0.0003100,0.3570274
5,6,800,0.0000100,0.6666257
5,6,800,0.0000400,0.6654764
5,6,800,0.0000700,0.6817742
5,6,800,0.0001000,0.6263337
5,6,800,0.0001300,0.4110752
5,6,800,0.0001600,0.3661203
5,6,800,0.0001900,0.3573695
5,6,800,0.0002200,0.3557893
5,6,800,0.0002500,0.3552479
5,6,800,0.0002800,0.3549660
5,6,800,0.0003100,0.3547994
5,6,1000,0.0000100,0.6543491
5,6,1000,0.0000400,0.6730089
5,6,1000,0.0000700,0.6745913
5,6,1000,0.0001000,0.4341129
5,6,1000,0.0001300,0.3645900
5,6,1000,0.0001600,0.3565631
5,6,1000,0.0001900,0.3554279
5,6,1000,0.0002200,0.3550023
5,6,1000,0.0002500,0.3547889
5,6,1000,0.0002800,0.3546661
5,6,1000,0.0003100,0.3545794
5,6,1500,0.0000100,0.6444008
5,6,1500,0.0000400,0.6822263
5,6,1500,0.0000700,0.4067160
5,6,1500,0.0001000,0.3576352
5,6,1500,0.0001300,0.3553350
5,6,1500,0.0001600,0.3548480
5,6,1500,0.0001900,0.3546499
5,6,1500,0.0002200,0.3545329
5,6,1500,0.0002500,0.3544420
5,6,1500,0.0002800,0.3543640
5,6,1500,0.0003100,0.3542917
5,6,2000,0.0000100,0.6487983
5,6,2000,0.0000400,0.6257576
5,6,2000,0.0000700,0.3594168
5,6,2000,0.0001000,0.3552530
5,6,2000,0.0001300,0.3547433
5,6,2000,0.0001600,0.3545564
5,6,2000,0.0001900,0.3544335
5,6,2000,0.0002200,0.3543309
5,6,2000,0.0002500,0.3542399
5,6,2000,0.0002800,0.3541594
5,6,2000,0.0003100,0.3540855
5,6,3000,0.0000100,0.6631566
5,6,3000,0.0000400,0.3743065
5,6,3000,0.0000700,0.3551149
5,6,3000,0.0001000,0.3546075
5,6,3000,0.0001300,0.3544159
5,6,3000,0.0001600,0.3542699
5,6,3000,0.0001900,0.3541463
5,6,3000,0.0002200,0.3540395
5,6,3000,0.0002500,0.3539333
5,6,3000,0.0002800,0.3538401
5,6,3000,0.0003100,0.3537581
5,6,4000,0.0000100,0.6730107
5,6,4000,0.0000400,0.3565720
5,6,4000,0.0000700,0.3546679
5,6,4000,0.0001000,0.3543988
5,6,4000,0.0001300,0.3542128
5,6,4000,0.0001600,0.3540632
5,6,4000,0.0001900,0.3539227
5,6,4000,0.0002200,0.3538020
5,6,4000,0.0002500,0.3537021
5,6,4000,0.0002800,0.3536206
5,6,4000,0.0003100,0.3535503
5,6,5000,0.0000100,0.6794993
5,6,5000,0.0000400,0.3552549
5,6,5000,0.0000700,0.3544924
5,6,5000,0.0001000,0.3542413
5,6,5000,0.0001300,0.3540518
5,6,5000,0.0001600,0.3538802
5,6,5000,0.0001900,0.3537417
5,6,5000,0.0002200,0.3536328
5,6,5000,0.0002500,0.3535447
5,6,5000,0.0002800,0.3534866
5,6,5000,0.0003100,0.3534827
5,7,500,0.0000100,0.5334852
5,7,500,0.0000400,0.5058697
5,7,500,0.0000700,0.5017265
5,7,500,0.0001000,0.5005268
5,7,500,0.0001300,0.5000232
5,7,500,0.0001600,0.5000000
5,7,500,0.0001900,0.5000000
5,7,500,0.0002200,0.5000000
5,7,500,0.0002500,0.5000000
5,7,500,0.0002800,0.5000000
5,7,500,0.0003100,0.5000000
5,7,800,0.0000100,0.5208835
5,7,800,0.0000400,0.5020509
5,7,800,0.0000700,0.5002906
5,7,800,0.0001000,0.5000000
5,7,800,0.0001300,0.5000000
5,7,800,0.0001600,0.5000000
5,7,800,0.0001900,0.5000000
5,7,800,0.0002200,0.5000000
5,7,800,0.0002500,0.5000000
5,7,800,0.0002800,0.5000000
5,7,800,0.0003100,0.5000000
5,7,1000,0.0000100,0.5149382
5,7,1000,0.0000400,0.5012057
5,7,1000,0.0000700,0.5000000
5,7,1000,0.0001000,0.5000000
5,7,1000,0.0001300,0.5000000
5,7,1000,0.0001600,0.5000000
5,7,1000,0.0001900,0.5000000
5,7,1000,0.0002200,0.5000000
5,7,1000,0.0002500,0.5000000
5,7,1000,0.0002800,0.5000000
5,7,1000,0.0003100,0.5000000
5,7,1500,0.0000100,0.5086792
5,7,1500,0.0000400,0.5001234
5,7,1500,0.0000700,0.5000000
5,7,1500,0.0001000,0.5000000
5,7,1500,0.0001300,0.5000000
5,7,1500,0.0001600,0.5000000
5,7,1500,0.0001900,0.5000000
5,7,1500,0.0002200,0.5000000
5,7,1500,0.0002500,0.5000000
5,7,1500,0.0002800,0.5000000
5,7,1500,0.0003100,0.5000000
5,7,2000,0.0000100,0.5058392
5,7,2000,0.0000400,0.5000000
5,7,2000,0.0000700,0.5000000
5,7,2000,0.0001000,0.5000000
5,7,2000,0.0001300,0.5000000
5,7,2000,0.0001600,0.5000000
5,7,2000,0.0001900,0.5000000
5,7,2000,0.0002200,0.5000000
5,7,2000,0.0002500,0.5000000
5,7,2000,0.0002800,0.5000000
5,7,2000,0.0003100,0.5000000
5,7,3000,0.0000100,0.5024437
5,7,3000,0.0000400,0.5000000
5,7,3000,0.0000700,0.5000000
5,7,3000,0.0001000,0.5000000
5,7,3000,0.0001300,0.5000000
5,7,3000,0.0001600,0.5000000
5,7,3000,0.0001900,0.5000000
5,7,3000,0.0002200,0.5000000
5,7,3000,0.0002500,0.5000000
5,7,3000,0.0002800,0.5000000
5,7,3000,0.0003100,0.5000000
5,7,4000,0.0000100,0.5011755
5,7,4000,0.0000400,0.5000000
5,7,4000,0.0000700,0.5000000
5,7,4000,0.0001000,0.5000000
5,7,4000,0.0001300,0.5000000
5,7,4000,0.0001600,0.5000000
5,7,4000,0.0001900,0.5000000
5,7,4000,0.0002200,0.5000000
5,7,4000,0.0002500,0.5000000
5,7,4000,0.0002800,0.5000000
5,7,4000,0.0003100,0.5000000
5,7,5000,0.0000100,0.5004728
5,7,5000,0.0000400,0.5000000
5,7,5000,0.0000700,0.5000000
5,7,5000,0.0001000,0.5000000
5,7,5000,0.0001300,0.5000000
5,7,5000,0.0001600,0.5000000
5,7,5000,0.0001900,0.5000000
5,7,5000,0.0002200,0.5000000
5,7,5000,0.0002500,0.5000000
5,7,5000,0.0002800,0.5000000
5,7,5000,0.0003100,0.5000000
5,8,500,0.0000100,0.5797882
5,8,500,0.0000400,0.5494691
5,8,500,0.0000700,0.5358004
5,8,500,0.0001000,0.5304052
5,8,500,0.0001300,0.5278374
5,8,500,0.0001600,0.5263750
5,8,500,0.0001900,0.5253991
5,8,500,0.0002200,0.5246259
5,8,500,0.0002500,0.5239699
5,8,500,0.0002800,0.5233923
5,8,500,0.0003100,0.5228557
5,8,800,0.0000100,0.5723486
5,8,800,0.0000400,0.5375219
5,8,800,0.0000700,0.5291806
5,8,800,0.0001000,0.5263753
5,8,800,0.0001300,0.5249095
5,8,800,0.0001600,0.5238485
5,8,800,0.0001900,0.5229660
5,8,800,0.0002200,0.5221595
5,8,800,0.0002500,0.5214382
5,8,800,0.0002800,0.5207688
5,8,800,0.0003100,0.5201411
5,8,1000,0.0000100,0.5677108
5,8,1000,0.0000400,0.5335367
5,8,1000,0.0000700,0.5272761
5,8,1000,0.0001000,0.5251175
5,8,1000,0.0001300,0.5237754
5,8,1000,0.0001600,0.5226835
5,8,1000,0.0001900,0.5217316
5,8,1000,0.0002200,0.5208877
5,8,1000,0.0002500,0.5200681
5,8,1000,0.0002800,0.5193317
5,8,1000,0.0003100,0.5187049
5,8,1500,0.0000100,0.5575630
5,8,1500,0.0000400,0.5285275
5,8,1500,0.0000700,0.5248599
5,8,1500,0.0001000,0.5230250
5,8,1500,0.0001300,0.5215790
5,8,1500,0.0001600,0.5203437
