h1,h2,iteration,learning_rate,sigmoid_testError,tanh_testError
2,2,500,0.001,0.920913063,0.362503087
2,2,500,0.011,0.46067423,0.362919876
2,2,500,0.021,0.41202962,0.876389371
2,2,500,0.031,0.396555882,2.84147726
2,2,500,0.041,0.388533891,1.999864258
2,2,500,0.051,0.3834756,1.999991067
2,2,500,0.061,0.379924088,1.999999682
2,2,500,0.071,0.377248809,1.99999579
2,2,500,0.081,0.375118703,1.999985793
2,2,500,0.091,0.373313599,1.999999881
2,2,500,0.101,0.371609337,2
2,2,800,0.001,0.895562732,0.359520005
2,2,800,0.011,0.421530222,0.358628117
2,2,800,0.021,0.394039792,0.87691272
2,2,800,0.031,0.384079039,1.998528443
2,2,800,0.041,0.378615156,1.999548176
2,2,800,0.051,0.375007814,1.999990546
2,2,800,0.061,0.372186469,1.999999681
2,2,800,0.071,0.368565242,1.999995611
2,2,800,0.081,0.770641409,1.999975798
2,2,800,0.091,0.36441644,1.999999881
2,2,800,0.101,0.890462776,2
2,2,1000,0.001,0.88407311,0.358384207
2,2,1000,0.011,0.409830386,0.357106791
2,2,1000,0.021,0.387938162,0.876945436
2,2,1000,0.031,0.379632769,1.997951639
2,2,1000,0.041,0.37493286,1.999918891
2,2,1000,0.051,0.371398544,1.999990159
2,2,1000,0.061,0.363198131,1.999999681
2,2,1000,0.071,0.910349738,1.999995483
2,2,1000,0.081,0.645006836,1.999954346
2,2,1000,0.091,0.366859474,1.999999881
2,2,1000,0.101,0.890462776,2
2,2,1500,0.001,0.837930643,0.356648147
2,2,1500,0.011,0.394591337,0.354939955
2,2,1500,0.021,0.379343726,0.876969512
2,2,1500,0.031,0.372972,1.998274197
2,2,1500,0.041,0.361710677,1.999797548
2,2,1500,0.051,0.801665169,1.999989009
2,2,1500,0.061,0.890452966,1.999999679
2,2,1500,0.071,0.890460958,1.999995126
2,2,1500,0.081,0.364496399,1.999995055
2,2,1500,0.091,0.890462865,1.999999881
2,2,1500,0.101,0.890462774,2
2,2,2000,0.001,0.741607098,0.35563288
2,2,2000,0.011,0.3868104,0.353760667
2,2,2000,0.021,0.37456012,0.876996866
2,2,2000,0.031,0.360025718,1.995663755
2,2,2000,0.041,0.343491028,1.999898912
2,2,2000,0.051,0.352635225,1.999987499
2,2,2000,0.061,0.890457021,1.999999678
2,2,2000,0.071,0.369523584,1.999994707
2,2,2000,0.081,0.890415901,1.999994126
2,2,2000,0.091,0.890462864,1.99999988
2,2,2000,0.101,0.890462772,2
2,2,3000,0.001,0.5803833,0.354530128
2,2,3000,0.011,0.378515843,0.352463293
2,2,3000,0.021,0.355715379,0.877054604
2,2,3000,0.031,0.348571239,1.988855638
